id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_cwc_dia_e	cd_cwc_dia_e_tol	cd_bore_dia	cd_bore_dia_tol	cd__mounting_holes	cd_mounting_hole_dia	cd_mounting_hole_thread_callout	cd_dyn_cs	cd_matl	cd_oal	cd_oal_tol	cd_hub_pos_f	cd_hub_pos_f_tol	cd_cc_loc_pos_g	cd_cc_loc_pos_g_tol	cd_lead_in_chmfr_12angle	cd_lead_in_chmfr_len	cd_superback_flatback	cd_weight	cd_diagram_
1	5-A-0293	4.795	0.001	4.436	0.003	3.124	0.001	2.135	0.002	2.400	0.010	0.5000	0.0003	4	-99.000	20909	19772	19728	0.840	0.010	NULL	NULL	0.715	0.001	20.0	NULL	20368	244.6	1
2	5-A-0333	4.795	0.001	4.436	0.003	3.124	0.001	2.135	0.002	2.400	0.010	0.4000	0.0010	4	-99.000	20909	19773	19728	0.840	0.010	0.348	0.005	0.715	0.001	-99.0	-99.000	20368	255.5	1
3	5-A-0718	4.795	0.001	4.436	0.003	3.124	0.001	2.135	0.002	2.400	0.010	0.4000	0.0010	4	-99.000	20909	19773	19728	0.840	0.006	0.348	0.005	0.703	0.001	-99.0	-99.000	20369	NULL	NULL
4	5-A-0990	4.795	0.001	4.436	0.003	3.124	0.001	2.685	0.005	2.400	0.010	0.5000	0.0005	4	-99.000	20909	19772	19728	0.840	0.010	0.300	0.005	0.715	0.001	20.0	NULL	20369	243.3	1
5	5-A-0991	4.795	0.001	4.336	0.003	3.124	0.001	2.685	0.005	2.400	0.010	0.4000	0.0010	4	-99.000	20909	19773	19728	0.840	0.010	0.348	0.005	0.705	0.001	-99.0	-99.000	20369	239.4	1
6	5-A-0992	4.795	0.001	4.336	0.003	3.124	0.001	2.685	0.005	2.400	0.010	0.4000	0.0010	4	-99.000	20909	19773	19728	0.840	0.011	0.348	0.005	0.715	0.001	-99.0	-99.000	20369	248.8	1
7	5-A-0993	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	5-A-0994	4.795	0.001	4.336	0.003	3.124	0.001	2.685	0.005	2.400	0.010	0.5000	0.0005	4	-99.000	20909	19772	19728	0.840	0.010	0.300	0.005	0.725	0.001	20.0	NULL	20369	NULL	1
9	5-A-1000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
10	5-A-1015	5.245	0.001	4.886	0.003	3.122	0.001	2.685	0.005	2.750	0.010	0.5000	0.0005	4	-99.000	20909	19772	19726	0.840	0.010	0.300	0.005	0.725	0.001	20.0	NULL	20369	370.4	1
11	5-A-1194	4.795	0.001	4.436	0.003	3.124	0.001	2.685	0.005	2.400	0.010	0.5000	0.0005	4	-99.000	20909	19772	19728	0.840	0.010	0.300	0.005	0.715	0.001	20.0	NULL	20369	NULL	1
12	5-A-1210	5.234	0.001	4.497	0.005	3.124	0.001	2.685	0.005	2.812	0.005	0.5000	0.0010	4	-99.000	20511	19772	19729	0.760	0.010	0.294	0.002	0.640	0.001	20.0	NULL	20372	232.9	1
13	5-A-1212	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
14	5-A-1465	4.795	0.001	4.436	0.003	3.124	0.001	2.685	0.005	2.400	0.010	0.5000	0.0005	4	-99.000	20909	19772	19728	0.840	0.010	0.300	0.005	0.725	0.001	20.0	NULL	20369	239.2	1
15	5-A-1593	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	5-A-1918	5.234	0.001	4.497	0.005	3.124	NULL	2.685	0.005	2.408	0.005	0.5200	0.0020	4	-99.000	20511	19772	19729	0.840	0.010	0.299	0.001	0.645	0.001	20.0	NULL	20372	279.3	1
17	5-A-2185	3.740	0.005	3.312	0.005	2.050	0.005	1.729	0.001	1.779	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.478	0.015	0.055	0.005	0.334	0.010	30.0	0.034	20368	79.3	2
18	5-A-2186	4.370	0.005	3.595	0.005	2.050	0.005	1.729	0.001	1.987	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.478	0.015	0.055	0.005	0.333	0.010	NULL	NULL	20368	114.4	2
19	5-A-2187	3.740	0.005	3.312	0.005	2.050	0.005	1.729	0.001	1.780	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.471	0.010	0.055	0.005	0.334	0.005	30.0	0.034	20369	81.7	NULL
20	5-A-2188	3.740	0.005	3.312	0.005	2.050	0.005	1.729	0.001	1.779	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.010	0.055	0.005	0.334	0.010	30.0	0.034	20368	80.1	NULL
21	5-A-3163	7.660	0.010	7.000	0.001	6.880	0.010	3.122	0.001	4.360	0.010	0.6880	0.0005	4	0.281	20411	19772	NULL	0.875	0.005	NULL	NULL	0.313	0.010	45.0	0.020	20372	NULL	NULL
22	5-A-3164	7.660	0.010	7.000	0.001	6.880	0.010	3.122	0.001	4.360	0.010	0.6880	0.0005	4	0.281	20411	19772	NULL	1.022	0.005	NULL	NULL	0.429	0.010	45.0	0.020	20372	NULL	NULL
23	5-A-3300	3.742	0.005	3.314	0.005	2.050	0.005	1.729	0.001	1.772	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.479	0.005	0.055	0.005	0.334	0.005	30.0	0.034	20368	80.2	2
24	5-A-3301	4.710	0.005	3.845	0.005	2.050	0.005	1.729	0.001	1.987	0.005	0.3680	0.0010	4	0.234	20411	19772	19729	0.505	0.005	0.055	0.005	0.334	0.005	30.0	0.034	20368	132.0	2
25	5-A-3302	3.897	0.005	3.527	0.005	2.050	0.005	1.729	0.001	1.987	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.478	0.010	0.055	0.005	0.333	0.010	30.0	0.035	20368	90.1	2
26	5-A-3303	4.367	0.005	3.595	0.005	2.050	0.005	1.729	0.001	1.975	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.472	0.005	0.055	0.005	0.335	0.005	30.0	0.035	20368	106.7	2
27	5-A-3304	3.897	0.005	3.527	0.005	2.050	0.005	1.729	0.001	1.987	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.010	0.055	0.005	0.333	0.010	30.0	0.035	20368	88.6	2
28	5-A-3305	4.882	0.005	3.945	0.005	2.050	0.005	1.729	0.001	2.100	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.005	0.055	0.005	0.334	0.001	30.0	0.034	20368	133.9	2
29	5-A-3306	5.078	0.005	3.945	0.005	2.050	0.005	1.729	0.001	2.263	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.005	0.055	0.005	0.334	0.005	30.0	0.034	20368	157.4	2
30	5-A-3308	4.232	0.005	3.433	0.005	2.050	0.005	1.729	0.001	2.097	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.452	0.005	0.140	0.005	0.307	0.005	30.0	0.035	20368	114.0	2
31	5-A-3621	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
32	5-A-3622	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
33	5-A-3846	4.715	0.005	3.750	0.005	2.050	0.005	1.729	0.001	1.982	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.005	0.055	0.005	0.334	0.005	30.0	0.034	20368	134.7	2
34	5-A-3847	4.413	0.005	3.787	0.005	2.050	0.005	1.729	0.001	2.108	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.471	0.005	0.055	0.005	0.334	0.005	30.0	0.034	20368	108.2	2
35	5-A-3848	5.078	0.005	3.945	0.005	2.080	0.005	1.729	0.001	2.100	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.005	0.055	0.005	0.334	0.005	30.0	0.034	20368	152.4	2
36	5-A-3874	5.079	0.005	4.409	0.005	2.050	0.005	1.729	0.001	2.263	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.523	0.005	0.140	0.005	0.375	0.005	30.0	0.034	20368	167.1	2
37	5-A-3875	5.433	0.005	4.566	0.005	2.050	0.005	1.729	0.001	2.406	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.532	0.005	0.055	0.005	0.395	0.005	30.0	0.034	20368	189.9	2
38	5-A-3876	4.925	0.005	4.637	0.005	2.050	0.005	1.729	0.001	1.979	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.472	0.005	0.055	0.005	0.335	0.005	30.0	0.034	20368	150.5	2
39	5-A-3900	4.415	0.005	3.787	0.005	2.050	0.005	1.729	0.001	2.102	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.477	0.005	0.055	0.005	0.332	0.005	60.0	0.034	20368	110.4	2
40	5-A-3903	5.245	0.005	4.886	0.003	3.122	0.001	3.148	0.005	2.750	0.010	0.5000	0.0005	4	-99.000	20909	19772	19726	0.840	0.010	0.300	0.005	0.725	0.001	20.0	NULL	20368	NULL	1
41	5-A-3980	5.080	0.005	3.945	0.005	2.050	0.005	1.729	0.001	2.102	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.450	0.005	0.055	0.005	0.305	0.005	30.0	0.034	20368	155.2	2
42	5-A-3989	5.080	0.005	3.945	0.005	2.050	0.005	1.729	0.001	2.265	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.532	0.005	0.055	0.005	0.395	0.005	30.0	0.034	20368	159.1	2
43	5-A-4063	4.232	0.005	3.430	0.005	2.050	0.005	1.729	0.001	2.089	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.459	0.005	0.055	0.005	0.337	0.005	30.0	0.034	20368	114.8	2
44	5-A-4078	4.232	0.005	3.428	0.005	2.050	0.005	1.729	0.001	2.104	0.005	0.3680	0.0010	4	NULL	20411	19772	19729	0.463	0.005	0.140	0.005	0.306	0.005	30.0	0.034	20368	113.1	2
45	5-A-4155	5.080	0.005	4.567	0.005	2.050	0.005	1.729	0.001	2.422	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.532	0.005	0.055	0.005	0.395	0.005	30.0	0.034	20368	185.0	2
46	5-A-4397	4.624	0.005	4.493	0.005	2.047	0.010	1.731	0.005	1.781	0.005	0.3937	0.0010	4	0.236	20411	19772	NULL	0.527	0.005	0.051	0.005	0.287	0.005	NULL	NULL	20368	150.1	2
47	5-A-4416	4.725	0.005	3.940	0.005	NULL	NULL	1.727	0.005	2.104	NULL	0.3950	NULL	4	0.235	20411	19772	19731	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	NULL	2
48	5-A-4424	3.740	0.005	3.310	0.005	NULL	NULL	1.727	0.005	1.850	NULL	0.3950	NULL	4	0.235	20411	19772	19731	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	78.0	2
49	5-A-4677	4.881	NULL	3.944	NULL	1.730	NULL	NULL	NULL	2.264	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.537	NULL	0.053	NULL	0.394	NULL	NULL	NULL	20368	147.5	NULL
50	5-A-4678	3.129	NULL	1.960	NULL	1.769	NULL	NULL	NULL	1.980	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.540	NULL	0.053	NULL	-99.000	NULL	NULL	NULL	20368	58.7	NULL
51	5-A-4680	4.880	0.005	3.940	0.005	NULL	NULL	1.727	0.005	1.987	NULL	0.3950	NULL	4	0.235	20411	19772	19731	0.538	NULL	0.053	NULL	0.394	NULL	NULL	NULL	20368	154.0	2
52	5-A-4681	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
53	5-A-4682	8.278	0.010	7.877	0.005	2.900	0.005	-99.000	-99.000	3.233	0.005	0.5000	0.0010	4	0.345	20411	19772	19729	1.928	NULL	0.000	0.005	0.693	0.005	NULL	NULL	20369	NULL	4
54	5-A-4683	4.231	NULL	3.432	NULL	1.730	NULL	NULL	NULL	2.102	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.473	NULL	0.053	NULL	0.329	NULL	NULL	NULL	20368	114.6	NULL
55	5-A-4684	6.994	NULL	6.681	NULL	2.899	NULL	NULL	NULL	3.194	NULL	0.5000	NULL	NULL	NULL	NULL	19772	NULL	1.145	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20369	620.5	NULL
56	5-A-4826	4.415	NULL	3.786	NULL	1.730	NULL	NULL	NULL	2.107	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.536	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	125.7	NULL
57	5-A-4871	4.370	0.005	3.590	0.005	NULL	NULL	1.727	0.005	1.984	NULL	0.3950	NULL	4	0.235	20411	19772	19731	0.536	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	126.0	2
58	5-A-4912	4.390	NULL	NULL	NULL	1.730	NULL	NULL	NULL	1.780	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.464	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	125.9	NULL
59	5-A-4913	4.723	NULL	3.944	NULL	1.730	NULL	NULL	NULL	1.800	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.474	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	143.6	NULL
60	5-A-4914	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
61	5-A-4915	4.783	NULL	4.438	NULL	1.730	NULL	NULL	NULL	2.413	NULL	0.3680	NULL	NULL	NULL	NULL	19772	NULL	0.460	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	158.3	NULL
62	5-A-4993	4.369	NULL	3.594	NULL	1.730	NULL	NULL	NULL	1.857	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.535	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	129.8	NULL
63	5-A-4994	4.712	NULL	3.846	NULL	1.730	NULL	NULL	NULL	1.985	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.464	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	135.8	NULL
64	5-A-4995	4.802	NULL	3.827	NULL	1.730	NULL	NULL	NULL	2.104	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.473	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	125.4	NULL
65	5-A-4996	5.805	0.005	4.400	0.005	NULL	NULL	1.727	0.005	2.263	NULL	0.3950	NULL	4	0.235	20411	19772	19731	0.541	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	179.5	2
66	5-A-4997	5.079	NULL	4.731	NULL	1.730	NULL	NULL	NULL	2.406	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.450	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	164.6	NULL
67	5-A-5247	3.900	0.005	3.525	0.005	NULL	NULL	1.727	0.005	1.865	NULL	0.3950	NULL	4	0.235	20411	19772	19731	0.535	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	98.0	2
68	5-A-5248	4.880	0.005	3.940	0.005	NULL	NULL	1.727	0.005	2.265	0.005	0.3950	0.0050	4	NULL	20411	19772	19731	0.535	NULL	NULL	NULL	0.430	0.005	NULL	NULL	20368	150.0	2
69	5-A-5285	4.882	NULL	3.944	NULL	1.730	NULL	NULL	NULL	2.268	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.473	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	149.6	NULL
70	5-A-5286	3.129	NULL	1.960	NULL	1.768	NULL	NULL	NULL	2.258	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.540	NULL	0.053	NULL	-99.000	NULL	NULL	60.000	20368	55.8	NULL
71	5-A-5290	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72	5-A-5329	5.281	NULL	4.995	NULL	1.730	NULL	NULL	NULL	2.107	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.470	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	192.2	NULL
73	5-A-5352	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
74	5-A-5358	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
75	5-A-5365	6.113	NULL	5.491	NULL	3.121	NULL	NULL	NULL	3.083	NULL	0.5000	NULL	NULL	NULL	NULL	19772	NULL	0.886	NULL	NULL	NULL	0.718	NULL	NULL	60.000	NULL	349.0	NULL
76	5-A-5566	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
77	5-A-5593	5.234	NULL	4.496	NULL	3.124	NULL	NULL	NULL	2.825	NULL	0.5000	NULL	NULL	NULL	NULL	19772	NULL	0.762	NULL	0.295	NULL	0.640	NULL	NULL	60.000	20368	255.9	NULL
78	5-A-5611	6.450	NULL	5.862	NULL	2.671	NULL	NULL	NULL	3.070	NULL	0.5000	NULL	NULL	NULL	NULL	19772	NULL	0.704	NULL	NULL	NULL	0.492	NULL	NULL	60.000	20368	448.4	NULL
79	5-A-5615	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
80	5-A-5636	5.079	NULL	4.408	NULL	1.730	NULL	NULL	NULL	2.269	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.512	NULL	0.138	NULL	0.370	NULL	NULL	60.000	20368	163.6	NULL
