id	part	cd_head_type	cd_drive_type	cd_drive_size	cd_across_flats_d	cd_head_diameter	cd_flange_diameter	cd_head_height_c	cd_thread_callout_a	cd_thread_hand	cd_overall_length	cd_thread_length_b	cd_property_class_or_grade	cd_plating_coating	cd_prevailing_torque_yn	cd_thread_lock_compound_type	cd_special_features	cd_special_features_onoff	cd_weight	cd_diagram_
1	8-A-0135	19819	19765	19755	0.312	-99.000	-99.000	0.125	20416	20402	1.005	0.880	19806	20314	0	20405	NULL	NULL	NULL	1
2	8-A-0136	19819	19765	19755	0.312	-99.000	-99.000	0.109	20416	20402	1.109	1.000	19806	20325	0	20405	NULL	NULL	NULL	1
3	8-A-0143	19819	19765	19755	0.563	-99.000	-99.000	0.250	20560	20402	1.000	0.750	19808	20314	0	20405	NULL	NULL	NULL	1
4	8-A-0144	19819	19765	19755	0.563	-99.000	-99.000	0.250	20560	20402	0.875	0.625	19808	20322	0	20405	NULL	NULL	14.3	1
5	8-A-0145	19819	19765	19755	0.500	-99.000	-99.000	0.203	20532	20402	0.703	0.500	19808	20322	1	20406	NULL	NULL	NULL	1
6	8-A-0146	19819	19765	19755	0.500	-99.000	-99.000	0.203	20532	20402	0.690	0.487	19807	20314	0	20405	NULL	NULL	NULL	1
7	8-A-0152	19819	19765	19755	0.500	-99.000	-99.000	0.219	20532	20402	0.969	0.750	19814	20311	0	20405	NULL	NULL	10.7	1
8	8-A-0155	19819	19765	19755	0.394	-99.000	0.547	0.227	20908	20402	0.857	0.630	19810	20322	1	20406	NULL	NULL	NULL	NULL
9	8-A-0156	19819	19765	19755	0.512	-99.000	-99.000	0.197	20924	20402	0.827	0.623	19810	20314	0	20405	NULL	NULL	NULL	NULL
10	8-A-0157	19819	19765	19755	0.510	-99.000	-99.000	0.200	20924	20402	0.590	0.390	19810	20322	1	20406	NULL	NULL	NULL	NULL
11	8-A-0159	19825	19768	19761	-99.000	0.276	-99.000	0.083	20888	20402	0.477	0.394	19806	20314	1	20409	NULL	NULL	NULL	NULL
12	8-A-0162	19819	19765	19755	0.562	-99.000	0.790	0.420	20560	20402	1.610	1.250	19808	20322	1	20406	NULL	NULL	NULL	NULL
13	8-A-0167	19819	19765	19755	0.433	-99.000	-99.000	0.150	20510	20402	1.150	1.000	19807	20314	0	20405	NULL	NULL	7.7	NULL
14	8-A-0168	19819	19765	19755	0.236	-99.000	0.323	0.126	20888	20402	0.520	0.394	19810	20314	1	20406	NULL	NULL	NULL	NULL
15	8-A-0169	19819	19765	19755	0.435	-99.000	-99.000	0.155	20510	20402	0.765	0.610	19807	20314	0	20405	NULL	NULL	5.9	NULL
16	8-A-0170	19819	19765	19755	0.500	-99.000	-99.000	0.200	20532	20402	1.200	1.000	19807	20312	0	20405	NULL	NULL	12.8	NULL
17	8-A-0172	19819	19765	19755	0.375	-99.000	0.515	0.245	20510	20402	0.870	0.625	19807	20325	1	20406	NULL	NULL	NULL	NULL
18	8-A-1520	19820	19765	19755	0.315	-99.000	0.504	0.311	20924	20402	1.098	0.787	19810	20314	0	20405	NULL	NULL	NULL	NULL
19	8-A-1854	19826	19768	19762	-99.000	0.347	-99.000	0.136	20896	20402	0.837	0.701	19811	20314	0	20405	NULL	NULL	3.3	NULL
20	8-A-1951	19819	19765	19755	0.315	-99.000	-99.000	0.139	20896	20402	0.533	0.394	19810	20322	1	20406	NULL	NULL	NULL	NULL
21	8-A-1959	19819	19765	19755	0.500	-99.000	-99.000	0.203	20532	20402	0.563	0.360	19807	20322	1	20406	NULL	NULL	7.9	NULL
22	8-A-2144	19819	19765	19755	0.392	-99.000	-99.000	0.158	20908	20402	0.946	0.788	19810	20322	1	20406	NULL	NULL	NULL	NULL
23	8-A-2539	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
24	8-A-2540	19819	19765	19755	0.270	-99.000	0.432	0.200	20422	20402	0.825	0.625	19810	20322	0	20409	NULL	NULL	NULL	NULL
25	8-A-3011	19819	19765	19755	0.310	-99.000	0.505	0.211	20896	20402	0.526	0.315	NULL	20325	0	20405	NULL	NULL	3.5	NULL
26	8-A-3021	19824	19765	19755	-99.000	0.124	-99.000	0.050	20411	20401	0.225	0.125	19817	20325	0	20405	NULL	NULL	0.1	NULL
27	8-A-3068	19819	19765	19755	0.394	-99.000	-99.000	0.157	20908	20402	0.551	0.394	19810	20322	1	20406	NULL	NULL	NULL	NULL
28	8-A-3134	19824	19765	19755	-99.000	0.120	-99.000	0.037	20411	20401	0.225	0.188	19817	20325	0	20405	NULL	NULL	0.1	NULL
29	8-A-3960	19819	19765	19755	0.394	-99.000	-99.000	0.157	20908	20402	0.551	0.394	19813	20311	0	20405	NULL	NULL	NULL	NULL
30	8-A-4147	19824	19769	19758	-99.000	0.432	-99.000	0.210	20896	20402	1.339	0.257	19815	20311	0	20405	NULL	NULL	NULL	NULL
31	8-A-4864	19820	19765	19755	0.512	-99.000	0.709	0.319	20924	20402	1.500	1.181	19811	20314	0	20405	-99	0	18.3	2
32	8-A-4866	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
33	8-A-5377	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
34	8-A-6238	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
35	8-B-0084	19821	19768	19762	-99.000	0.379	-99.000	0.105	20896	20402	0.630	0.525	19811	20313	1	20406	NULL	NULL	NULL	NULL
36	8-B-0111	19819	19765	19755	0.394	-99.000	-99.000	0.157	20908	20402	0.630	0.472	19810	20314	1	20407	NULL	NULL	4.7	NULL
37	8-B-0116	19819	19765	19755	0.512	-99.000	-99.000	0.212	20924	20402	1.200	0.988	19810	20314	1	20405	NULL	NULL	13.4	NULL
38	8-B-0401	19819	19765	19755	0.512	-99.000	-99.000	0.213	20924	20402	0.685	0.472	19814	20311	0	20405	NULL	NULL	NULL	NULL
39	8-B-2873	19819	19765	19755	0.390	-99.000	-99.000	0.170	20908	20402	1.550	1.380	NULL	20311	0	20405	NULL	NULL	NULL	NULL
40	8-B-3793	19823	19769	19758	-99.000	0.331	0.420	0.197	20896	20402	0.669	0.472	NULL	20315	1	20406	NULL	NULL	NULL	NULL
41	8-C-1251	19819	19765	19755	0.512	-99.000	-99.000	0.209	20924	20402	1.783	0.866	19814	20311	0	20405	NULL	NULL	19.1	NULL
42	8-C-1369	19819	19765	19755	0.394	-99.000	-99.000	0.157	20908	20402	0.787	0.630	19810	20314	0	20405	NULL	NULL	5.1	NULL
43	8-C-4137	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
44	8-C-4162	19819	19765	19755	0.510	-99.000	-99.000	0.200	20924	20402	0.590	0.390	19814	20311	0	20405	NULL	NULL	NULL	NULL
45	8-D-0411	19819	19765	19755	0.394	-99.000	-99.000	0.170	20908	20402	0.800	0.630	19810	20322	1	20406	NULL	NULL	NULL	NULL
46	8-D-0412	19823	19769	19759	-99.000	0.390	-99.000	0.160	20908	20402	0.790	0.630	19810	20314	1	20406	NULL	NULL	NULL	NULL
47	8-D-0916	19823	19768	19764	-99.000	0.330	-99.000	0.138	20896	20402	0.610	0.472	19810	20314	1	20406	NULL	NULL	NULL	NULL
48	8-D-0917	19819	19765	19755	0.394	-99.000	-99.000	0.157	20908	20402	0.630	0.472	19810	20322	1	20406	NULL	NULL	NULL	NULL
49	8-D-0918	19819	19765	19755	0.394	-99.000	-99.000	0.157	20908	20402	0.551	0.394	19810	20314	0	20405	NULL	NULL	NULL	NULL
50	8-D-1116	19819	19765	19755	0.512	-99.000	-99.000	0.209	20924	20402	0.602	0.394	19810	20314	0	20405	NULL	NULL	8.7	NULL
51	8-D-1708	19819	19765	19755	0.512	-99.000	-99.000	0.197	20924	20402	0.728	0.531	19811	20314	0	20405	NULL	NULL	9.8	NULL
52	8-D-3552	19823	19768	19760	-99.000	0.211	-99.000	0.079	20880	20402	0.620	0.541	NULL	20325	0	20405	NULL	NULL	NULL	NULL
53	8-D-3554	19819	19765	19755	0.394	-99.000	0.545	0.227	20908	20402	0.700	0.472	19811	20322	0	20405	NULL	NULL	NULL	NULL
54	8-D-5894	19819	19765	19755	0.505	-99.000	-99.000	0.208	20924	20402	0.753	0.515	19814	20311	0	20405	NULL	NULL	9.9	NULL
55	8-D-6094	19819	19765	19755	0.505	-99.000	-99.000	0.200	20922	20402	0.980	0.780	NULL	20322	0	20405	NULL	NULL	10.1	NULL
56	8-F-0042	19821	19769	19756	-99.000	0.310	-99.000	0.090	20888	20402	0.630	0.540	19811	20314	1	20406	NULL	NULL	NULL	NULL
57	8-F-0433	19821	19766	19755	-99.000	0.210	-99.000	0.080	20880	20402	0.475	0.400	19814	20311	0	20405	NULL	NULL	0.6	NULL
58	8-F-0446	19821	19769	19756	-99.000	0.307	-99.000	0.409	20888	20402	0.543	0.476	NULL	20314	1	20406	NULL	NULL	NULL	NULL
59	8-F-0476	19821	19766	19755	-99.000	0.215	-99.000	0.075	20880	20402	0.235	0.160	19814	20311	0	20405	NULL	NULL	0.3	NULL
60	8-F-3117	19821	19769	19757	-99.000	0.394	-99.000	0.150	20896	20402	0.550	0.400	NULL	20314	1	20406	NULL	NULL	2.1	NULL
61	8-F-3564	19821	19768	19760	-99.000	0.231	-99.000	0.067	20880	20402	0.339	0.272	NULL	20325	0	20405	NULL	NULL	NULL	NULL
62	8-F-3565	19819	19765	19755	0.472	-99.000	0.635	0.347	20924	20402	0.872	0.585	19811	20322	1	20406	NULL	NULL	NULL	NULL
63	8-F-3691	19821	19768	19760	-99.000	0.227	-99.000	0.090	20880	20402	0.344	0.254	19814	20311	1	20406	NULL	NULL	0.5	NULL
64	8-F-3692	19824	19768	19764	-99.000	0.405	-99.000	0.132	20908	20402	0.665	0.533	NULL	20314	1	20406	NULL	NULL	NULL	NULL
65	8-F-3698	19824	19768	19763	-99.000	0.364	-99.000	0.105	20896	20402	0.625	0.520	19812	20314	1	20406	NULL	NULL	NULL	NULL
66	8-F-4174	19824	19768	19764	-99.000	0.551	-99.000	0.173	20924	20402	0.960	0.787	NULL	20314	1	20406	NULL	NULL	NULL	NULL
67	8-F-5853	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
68	8-F-5861	19824	19769	19759	-99.000	0.551	-99.000	0.173	20924	20402	0.960	0.787	19811	20311	0	20408	NULL	NULL	NULL	NULL
69	8-F-5890	19827	19769	19758	-99.000	-99.000	-99.000	-99.000	20922	20402	0.430	0.218	19816	20311	0	20405	NULL	NULL	2.3	NULL
70	8-F-6200	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
71	8-G-4748	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72	8-G-4749	19823	19769	19757	-99.000	0.276	-99.000	0.157	20888	20402	0.709	0.551	19816	20311	0	20405	NULL	NULL	2.0	NULL
73	8-H-1256	19819	19765	19755	0.438	-99.000	-99.000	0.172	20510	20402	2.172	2.000	19807	NULL	0	20405	NULL	NULL	13.8	NULL
74	8-L-2358	19819	19765	19755	0.512	-99.000	-99.000	0.209	20924	20402	0.681	0.472	19807	NULL	NULL	NULL	NULL	NULL	NULL	NULL
75	8-L-2359	19819	19765	19755	0.630	-99.000	-99.000	0.252	20944	20402	0.882	0.630	19807	NULL	NULL	NULL	NULL	NULL	NULL	NULL
76	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
