id	part	cd_inducer_dia_a	cd_inducer_dia_a_tol	cd_exducer_dia_b	cd_exducer_dia_b_tol	cd_tip_height_c	cd_tip_height_c_tol	cd_platform_height_h	cd_shroud_type	cd_blade_height	cd_blade_count	cd_journal_type	cd_max_journal_diameter_d	cd_min_journal_diameter_d	cd_max_stem_diameter_e	cd_min_stem_diameter_e	cd_stem_length_f	cd_stem_length_f_tol	cd_thread_hand	cd_thread_length_g	cd_piston_ring_groove_major_dia_i	cd_piston_ring_groove_major_dia_i_tol	cd_piston_ring_groove_minor_dia_j	cd_piston_ring_groove_minor_dia_j_tol	cd_piston_ring_groove_width_k	cd_piston_ring_groove_width_k_tol	cd_2nd_piston_ring_groove_major_dia	cd_2nd_piston_ring_groove_major_dia_tol	cd_2nd_piston_ring_groove_minor_dia	cd_2nd_piston_ring_groove_minor_dia_tol	cd_2nd_piston_ring_groove_width	cd_2nd_piston_ring_groove_width_tol	cd_rotation	cd_weight	cd_thread	cd_extended_tips	cd_diagram_
1	2-A-0296	2.324	0.005	1.800	0.002	0.385	0.005	2.63	20376	3.02	11	19892	0.3999	0.3996	0.2499	0.2496	2.71	0.01	20402	0.95	0.684	0.003	0.566	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	261.8	20520	NULL	NULL
2	2-A-1051	1.855	0.005	1.397	0.002	0.300	0.005	2.06	20376	2.36	11	19892	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	1.55	0.602	0.003	0.498	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	123.3	20908	NULL	NULL
3	2-A-1889	2.559	0.005	1.819	0.002	0.382	0.005	2.64	20376	3.02	11	19892	0.4000	0.3997	0.2497	0.2494	2.45	0.01	20403	0.51	0.682	0.003	0.570	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	270.0	20520	NULL	NULL
4	2-A-1890	2.642	0.005	1.933	0.002	0.400	0.005	2.64	20376	3.04	11	19891	0.4000	0.3997	0.2497	0.2494	2.66	0.01	20403	0.80	0.682	0.003	0.570	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	257.0	20520	NULL	NULL
5	2-A-1893	2.336	0.005	1.894	0.002	0.436	0.005	2.64	20376	3.08	11	19892	0.4000	0.3997	0.2500	0.2497	2.68	0.01	20403	0.80	0.682	0.003	0.570	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	263.0	20520	NULL	NULL
6	2-A-1894	2.319	0.005	1.917	0.002	0.438	0.005	2.64	20376	3.08	11	19892	0.4000	0.3997	0.2499	0.2496	2.64	0.01	20403	0.76	0.682	0.003	0.570	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	261.0	20520	NULL	NULL
7	2-A-1916	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	2-A-2048	2.556	0.005	2.230	0.002	0.367	0.005	2.64	20376	3.01	11	19891	0.4000	0.3997	0.2497	0.2494	2.65	0.01	20403	0.75	0.682	NULL	0.570	NULL	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	278.0	20520	NULL	NULL
9	2-A-2175	1.665	0.005	1.268	0.002	0.233	0.005	1.67	20376	1.91	10	19891	0.3101	0.3098	0.2001	0.1998	1.84	0.01	20403	0.42	0.600	0.003	0.500	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	85.6	20896	NULL	NULL
10	2-A-2335	1.850	0.005	1.319	0.002	0.255	0.005	2.07	20376	2.33	11	19891	0.3621	0.3618	0.2362	0.2359	1.97	0.01	20403	0.50	0.602	0.003	0.498	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	118.0	20908	NULL	NULL
11	2-A-2337	1.850	0.005	1.531	0.002	0.213	0.005	2.07	20376	2.29	11	19891	0.3621	0.3618	0.2362	0.2359	1.95	0.01	20403	0.38	0.602	0.003	0.498	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	121.2	20908	NULL	NULL
12	2-A-2338	2.079	0.005	1.548	0.002	0.224	0.005	2.06	20376	2.29	11	19891	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.42	0.602	0.003	0.498	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	151.0	20908	NULL	NULL
13	2-A-2507	2.087	0.005	1.520	0.002	0.291	0.005	2.06	20376	2.35	9	19891	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.42	0.602	0.003	0.498	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	133.0	20908	NULL	NULL
14	2-A-2508	1.853	0.005	1.612	0.002	0.259	0.005	2.06	20376	2.32	11	19891	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.41	0.602	0.003	0.498	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	143.0	20908	NULL	NULL
15	2-A-2528	2.560	0.005	1.934	0.002	0.410	0.005	2.64	20376	3.05	11	19891	0.4000	0.3997	0.2499	0.2496	2.64	0.01	20403	0.78	0.682	0.003	0.568	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	249.8	20520	NULL	NULL
16	2-A-2617	2.556	0.005	2.120	0.002	0.351	0.005	2.65	20376	3.00	11	19892	0.4000	0.3997	0.2497	0.2494	2.65	0.01	20403	0.75	0.682	0.003	0.570	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	283.1	20520	NULL	NULL
17	2-A-3166	4.386	0.005	3.823	0.002	0.630	0.005	3.69	20376	4.32	11	19891	0.6254	0.6251	0.3752	0.3749	3.49	0.01	20402	1.34	0.796	0.003	0.680	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	1255.0	20572	NULL	NULL
18	2-A-3167	4.386	0.005	3.454	0.002	0.549	0.005	3.69	20376	4.24	11	19891	0.6254	0.6251	0.3752	0.3749	3.45	0.01	20402	1.15	0.796	0.003	0.680	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	1383.0	20572	NULL	NULL
19	2-A-3168	4.129	0.005	3.654	0.002	0.594	0.005	3.69	20376	4.28	11	19891	0.6254	0.6251	0.3752	0.3749	3.49	0.01	20402	1.23	0.796	0.003	0.690	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	1390.0	20572	NULL	NULL
20	2-A-3255	1.693	0.005	1.476	0.002	0.242	0.005	1.67	20376	1.92	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	107.9	20896	NULL	NULL
21	2-A-3257	1.693	0.005	1.418	0.002	0.241	0.005	1.67	20376	1.94	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	106.6	20896	NULL	NULL
22	2-A-3260	1.754	0.005	1.476	0.002	0.290	0.005	1.67	20376	1.96	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	118.7	20896	NULL	NULL
23	2-A-3265	1.850	0.005	1.520	0.002	0.303	0.005	2.06	20376	2.37	9	19892	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.41	0.602	0.003	0.498	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	135.0	20908	NULL	NULL
24	2-A-3266	1.968	0.005	1.804	0.002	0.345	0.005	1.67	20376	2.02	9	19891	0.3101	0.3098	0.2001	0.1998	2.21	0.01	20403	0.47	0.602	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	165.5	20896	NULL	NULL
25	2-A-3320	1.625	0.005	1.334	0.002	0.284	0.005	1.67	20376	1.96	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	93.5	20896	NULL	NULL
26	2-A-3321	2.076	0.005	1.642	0.002	0.249	0.005	2.06	20376	2.31	11	19891	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.45	0.602	0.003	0.498	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	154.1	20908	NULL	NULL
27	2-A-3342	2.087	0.005	1.849	0.002	0.289	0.005	2.06	20376	2.35	9	19891	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.41	0.602	0.003	0.498	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	187.0	20908	NULL	NULL
28	2-A-3344	1.745	0.005	1.569	0.002	0.322	0.005	1.67	20376	2.00	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.56	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	119.6	20896	NULL	NULL
29	2-A-3456	4.386	0.005	3.454	0.002	0.550	0.005	3.69	20376	4.24	11	19891	0.6254	0.6251	0.3752	0.3749	3.45	0.01	20402	1.15	0.796	0.003	0.680	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	1242.9	20572	NULL	NULL
30	2-A-3468	2.119	0.005	1.849	0.002	0.360	0.005	2.07	20376	2.43	9	19891	0.3621	0.3618	0.2362	0.2359	1.96	0.01	20403	0.41	0.602	0.003	0.498	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	179.4	20908	NULL	NULL
31	2-A-3508	1.622	0.005	1.378	0.002	0.278	0.005	1.67	20376	1.95	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	93.5	20896	NULL	NULL
32	2-A-3568	1.966	0.005	1.804	0.002	0.353	0.005	1.67	20376	2.02	9	19891	0.3100	0.3097	0.2000	0.1997	1.67	0.01	20403	0.38	0.602	0.003	0.500	0.005	0.072	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	160.0	20896	NULL	NULL
33	2-A-3582	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
34	2-A-3583	1.980	0.005	1.681	0.002	0.336	0.005	1.67	20376	2.01	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.56	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	114.1	20896	NULL	NULL
35	2-A-3695	1.980	0.005	1.681	0.002	0.321	0.005	1.67	20376	1.99	9	19891	0.3101	0.3098	0.2001	0.1998	2.21	0.01	20403	0.47	0.602	NULL	0.500	NULL	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	133.1	20896	NULL	NULL
36	2-A-3741	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
37	2-A-3754	1.740	0.005	1.476	0.002	0.296	0.005	1.67	20376	1.97	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	107.4	20896	NULL	NULL
38	2-A-3829	1.693	0.005	1.418	0.002	0.228	0.005	1.67	20376	1.90	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	109.0	20896	NULL	NULL
39	2-A-3915	1.743	0.005	1.516	0.002	0.296	0.005	1.67	20376	1.97	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	NULL	0.500	NULL	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	108.7	20896	NULL	NULL
40	2-A-3999	1.966	0.005	1.670	0.002	0.324	0.005	1.67	20376	1.99	9	19891	0.3101	0.3098	0.2001	0.1998	2.21	0.01	20403	0.50	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	162.6	20896	NULL	NULL
41	2-A-4006	1.730	0.005	1.465	0.002	0.228	0.005	1.67	20376	1.90	12	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	104.1	20896	NULL	NULL
42	2-A-4304	1.652	0.005	1.508	0.002	0.213	0.005	1.67	20376	1.89	12	19891	0.3101	0.3098	0.2001	0.1998	1.83	0.01	20403	0.55	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	111.9	20896	NULL	NULL
43	2-A-4365	2.015	0.005	1.849	0.002	0.365	0.005	1.67	20376	2.04	9	19891	0.3101	0.3098	0.2001	0.1998	2.21	0.01	20403	0.47	0.602	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	173.3	20896	NULL	NULL
44	2-A-4395	1.532	0.005	1.304	0.002	0.212	0.005	1.67	20376	1.88	11	19891	0.2559	0.2556	0.1999	0.1996	1.99	0.01	20403	0.60	0.601	0.003	0.497	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	79.6	20896	NULL	NULL
45	2-A-4399	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
46	2-A-4401	1.575	0.005	1.575	0.002	-99.000	0.005	1.67	20375	-99.00	9	19891	0.3101	0.3098	0.2001	0.1998	1.99	0.01	20403	0.58	0.600	0.003	0.500	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	138.4	20896	NULL	NULL
47	2-A-4409	1.694	0.005	1.384	0.002	0.244	0.005	1.67	20376	1.91	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.602	0.003	0.497	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	101.2	20896	NULL	NULL
48	2-A-4413	1.852	0.005	1.517	0.002	0.310	0.005	1.67	20376	1.98	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.60	0.603	0.003	0.503	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	136.4	20896	NULL	NULL
49	2-A-4421	1.613	0.005	1.339	0.002	0.256	0.005	1.67	20376	1.92	9	19891	0.3101	0.3098	0.2001	0.1998	1.99	0.01	20403	0.61	0.601	NULL	0.497	NULL	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	87.9	20896	NULL	NULL
50	2-A-4451	1.691	0.005	1.551	0.002	0.325	0.005	1.67	20376	2.00	9	19892	0.3101	0.3098	0.2001	0.1998	0.20	0.01	20403	0.69	0.602	0.003	0.499	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	122.0	20896	NULL	NULL
51	2-A-4530	1.693	0.005	1.477	0.002	0.249	0.005	1.67	20376	1.92	9	19891	0.3101	0.3098	0.2001	0.1998	1.98	0.01	20403	0.69	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	108.5	20896	0	NULL
52	2-A-4531	1.683	0.005	1.556	0.002	0.355	0.005	1.67	20375	2.02	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.69	0.600	0.003	0.500	0.005	0.067	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	123.4	20896	0	NULL
53	2-A-4532	1.693	0.005	1.555	0.002	0.354	0.005	1.67	20375	2.02	11	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.74	0.600	0.003	0.500	0.005	0.066	0.001	0.600	0.003	0.500	0.005	0.066	0.001	20336	118.2	20896	0	NULL
54	2-A-4533	1.693	0.005	1.496	0.002	0.290	0.005	1.66	20376	1.95	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.72	0.600	0.003	0.500	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	119.7	20896	0	NULL
55	2-A-4534	1.692	0.005	1.476	0.002	0.240	0.005	1.67	20376	1.91	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.72	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	120.2	20896	0	NULL
56	2-A-4535	1.693	0.005	1.457	0.002	0.314	0.005	1.67	20375	1.98	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.72	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	118.3	20896	0	NULL
57	2-A-4536	1.692	0.005	1.496	0.002	0.311	0.005	1.67	20376	1.98	9	19891	0.3101	0.3098	0.2001	0.1998	1.97	0.01	20403	0.72	0.600	0.003	0.495	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	119.3	20896	0	NULL
58	2-A-4537	1.693	0.005	1.472	0.002	0.350	0.005	1.67	20375	NULL	9	19891	NULL	-0.0003	NULL	-0.0003	NULL	0.01	20403	NULL	NULL	0.003	NULL	0.005	NULL	0.001	0.600	0.003	0.500	0.005	0.067	0.001	20336	121.7	20896	0	NULL
59	2-A-4538	1.850	0.005	1.519	0.002	0.319	0.005	1.67	20376	1.99	9	19891	0.3101	0.3098	0.2001	0.1998	1.98	0.01	20403	0.72	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	139.1	20896	0	NULL
60	2-A-4539	3.012	0.005	2.672	0.002	0.480	0.005	2.64	20376	3.12	10	19891	0.4000	0.3997	0.2498	0.2495	2.65	0.01	20402	0.60	0.679	0.003	0.568	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20337	399.0	20520	0	NULL
61	2-A-4540	1.969	0.005	1.681	0.002	0.309	0.005	1.67	20376	1.98	9	19891	0.3101	0.3098	0.2001	0.1998	1.98	0.01	20403	0.72	0.600	0.003	0.500	0.005	0.065	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	141.2	20896	0	NULL
62	2-A-4541	3.012	0.005	2.748	0.002	0.522	0.005	2.64	20376	3.16	10	19891	0.4000	0.3997	0.2500	0.2497	2.63	0.01	20402	0.66	0.680	0.003	0.627	0.005	0.070	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20337	403.8	20520	0	NULL
